Transaction_ID,Order_ID,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Customer_Segment,Order_Date,Order_Time,Sales_Channel
T02014413,O0114413,C02265,William Walker,25.0,Female,Consumer,2024-12-28,16:36:29,B2B Portal
T02006097,O0106097,C04058,Isla Williams,25.0,Male,New Customer,2022-04-29,11:46:58,B2B Portal
T02005015,O0102507,C03362,Liam Baker,33.0,Male,Small Business,2023-10-02,17:54:53,Online
T02009714,O0109714,C04340,Mia Anderson,52.0,Female,Consumer,2025-11-13,11:39:31,Phone Order
T02015976,O0107988,C05271,Aria Walker,45.0,Female,Consumer,2025-08-01,10:39:08,B2B Portal
T02005941,O0105941,C05397,James White,40.0,Male,Consumer,2025-08-08,14:18:47,Retail Store
T02003081,O0103081,C05474,Emily Smith,22.0,Male,Consumer,2024-12-31,10:08:08,B2B Portal
T02000189,O0100189,C01386,Freya Green,37.0,Male,Small Business,2023-01-31,14:25:03,Phone Order
T02012120,O0112120,C00728,Benjamin White,40.0,Male,Returning Customer,2023-07-15,12:27:57,Phone Order
T02017206,O0117206,C00894,Lily Smith,48.0,Male,Consumer,2023-12-01,19:17:28,Online
T02011968,O0111968,C00768,Emma Hall,21.0,Female,Corporate,2023-01-21,09:31:52,Online
T02006952,O0106952,C01378,Oscar Moore,39.0,Female,New Customer,2022-07-27,10:13:14,B2B Portal
T02006475,O0106475,C04638,James Baker,44.0,Male,Small Business,2025-02-24,12:02:59,B2B Portal
T02000920,O0100920,C05598,Aria Clark,48.0,Male,Returning Customer,2022-06-30,20:09:44,Online
T02015100,O0115100,C01713,Leo Wright,30.0,Male,Consumer,2022-05-06,14:59:20,Retail Store
T02004289,O0104289,C04415,Freya Williams,49.0,Female,Consumer,2024-09-21,17:28:31,Phone Order
T02003015,O0103015,C04960,Aria Jones,26.0,Female,Consumer,2024-04-30,13:39:26,Retail Store
T02004439,O0104439,C00643,David White,56.0,Male,Returning Customer,2025-05-04,15:02:58,Retail Store
T02001159,O0101159,C01488,Grace Thompson,42.0,Male,Returning Customer,2024-03-01,17:33:32,Online
T02007178,O0107178,C04023,Leo Thompson,50.0,Female,Consumer,2022-05-10,11:05:12,Phone Order
T02013894,O0106947,C00043,Aria Thomas,37.0,Female,Returning Customer,2024-12-13,12:48:34,Retail Store
T02012314,O0106157,C04099,Freya Allen,43.0,Female,Corporate,2022-05-15,11:23:09,Retail Store
T02007536,O0103768,C00339,Aria Moore,39.0,Female,Returning Customer,2023-05-05,13:33:01,Retail Store
T02000449,O0100449,C00728,Benjamin White,40.0,Male,Small Business,2025-11-06,20:24:20,Online
T02010717,O0110717,C00170,Ava Scott,36.0,Male,Consumer,2023-08-08,21:13:24,Online
T02004683,O0104683,C02465,Benjamin Moore,36.0,Female,Returning Customer,2025-01-26,16:31:46,Online
T02003972,O0103972,C04983,Ella Jones,38.0,Female,Consumer,2023-09-21,09:32:12,Online
T02013835,O0106917,C00063,Max Williams,51.0,Male,Small Business,2025-10-05,15:37:47,Retail Store
T02010293,O0105146,C04409,Maya Brown,45.0,Male,Returning Customer,2023-12-01,14:21:27,Retail Store
T02006676,O0106676,C01213,Emma Miller,41.0,Female,Consumer,2025-09-05,19:03:04,Online
T02008468,O0108468,C03643,Theo Clark,19.0,Male,Consumer,2022-07-16,23:59:41,Online
T02005871,O0105871,C01476,Amelia Harris,51.0,male,Premium,2024-01-19,14:23:25,Phone Order
T02007606,O0107606,C00266,Nora Miller,44.0,Male,Consumer,2025-06-02,09:39:31,Phone Order
T02002280,O0102280,C00986,Max Smith,38.0,Male,New Customer,2022-04-06,09:34:56,Phone Order
T02015785,O0115785,C02578,Mia Anderson,43.0,Female,Consumer,2025-03-22,17:48:17,Retail Store
T02017174,O0108587,C02520,Theo Moore,43.0,Male,Returning Customer,2024-10-18,20:39:09,Online
T02016523,O0108261,C01161,Daniel Lewis,33.0,Male,Consumer,2024-08-19,08:07:47,B2B Portal
T02014497,O0107248,C00202,Samuel Hall,18.0,Non-binary,Consumer,2022-11-21,17:04:48,Online
T02013242,O0106621,C03783,Sophia Thompson,39.0,Male,Small Business,2025-01-09,11:23:44,Phone Order
T02009652,O0104826,C03900,Evelyn Williams,36.0,Male,Returning Customer,2022-10-07,23:07:32,Online
T02003030,O0103030,C00852,Sophia Jackson,33.0,Female,Consumer,2023-03-07,13:12:05,Retail Store
T02008833,O0108833,C05532,Lucas Moore,34.0,Female,Consumer,2025-02-19,18:49:37,Phone Order
T02012973,O0112973,C01423,Ella Anderson,44.0,Female,Consumer,2025-09-12,09:08:35,B2B Portal
T02004082,O0104082,C04487,Emily Brown,28.0,Male,Consumer,2023-12-08,14:23:27,Retail Store
T02011731,O0105865,C00481,Liam Lewis,36.0,Male,Consumer,2025-10-16,10:42:27,B2B Portal
T02015632,O0115632,C05305,Ella Davis,40.0,Female,Small Business,2025-08-17,07:44:13,Online
T02002793,O0102793,C02805,Thomas Baker,45.0,Female,New Customer,2022-04-15,14:00:20,Retail Store
T02004629,O0104629,C02943,Jack Williams,24.0,Female,New Customer,2022-01-19,08:00:52,Phone Order
T02007495,O0107495,C00730,Emily Harris,28.0,Female,Small Business,2023-05-06,20:16:13,Online
T02015142,O0115142,C00627,David Nelson,24.0,Male,Consumer,2024-02-23,18:14:42,Online
T02012836,O0106418,C03303,Chloe Allen,31.0,Female,Consumer,2024-12-14,19:59:27,Retail Store
T02000360,O0100360,C00199,Ava Walker,44.0,Male,Consumer,2023-08-15,10:21:05,Phone Order
T02011577,O0111577,C02236,Henry Taylor,53.0,Female,Corporate,2023-01-13,11:38:43,Phone Order
T02000856,O0100428,C02308,Samuel Thompson,39.0,Female,Consumer,2023-09-29,12:53:19,B2B Portal
T02011686,O0105843,C02557,Lucas Baker,45.0,Male,New Customer,2022-03-31,16:33:03,Online
T02007076,O0107076,C00783,Thomas King,53.0,Female,Returning Customer,2025-03-08,19:47:28,Online
T02014953,O0114953,C01048,Leo Jackson,51.0,FEMALE,Returning Customer,2024-12-28,16:10:24,Retail Store
T02011454,O0111454,C02169,Sophia Thomas,51.0,Female,Consumer,2022-10-17,10:56:09,Retail Store
T02013587,O0113587,C04916,Lily King,29.0,Male,New Customer,2022-08-31,17:22:33,Online
T02015305,O0115305,C01627,Emily Baker,39.0,Female,New Customer,2022-03-13,14:58:39,Retail Store
T02013329,O0113329,C05436,Henry Baker,33.0,Female,New Customer,2022-07-29,15:50:53,Online
T02003689,O0103689,C01053,Leo Anderson,32.0,Male,Consumer,2022-05-05,21:04:45,Online
T02005216,O0105216,C00825,Oscar Baker,31.0,Female,Consumer,2024-10-30,16:48:05,Online
T02017420,O0117420,C01376,Maya Harris,28.0,Female,Consumer,2023-11-21,22:58:03,Online
T02017537,O0117537,C04632,George Lewis,24.0,Male,Premium,2024-05-10,14:39:33,Online
T02016758,O0108379,C04930,Nora Davis,44.0,Male,Consumer,2023-10-03,13:58:48,Retail Store
T02011178,O0111178,C00938,Lily White,52.0,Female,Small Business,2023-05-28,20:48:16,Online
T02014813,O0114813,C01369,Emily Davis,48.0,Female,Returning Customer,2025-09-22,13:18:50,Retail Store
T02011934,O0111934,C00683,George Jackson,50.0,Female,Consumer,2025-10-07,23:19:46,Online
T02001507,O0100753,C04681,Emma Martin,27.0,Female,New Customer,2022-04-20,17:30:13,Online
T02017157,O0117157,C03319,Ella Jones,29.0,Female,Consumer,2025-11-03,08:16:44,B2B Portal
T02014510,O0107255,C02345,Samuel Clark,18.0,Male,Small Business,2023-10-28,17:32:01,Online
T02000869,O0100869,C04921,Freya Brown,48.0,Female,Consumer,2024-05-20,19:04:51,Retail Store
T02014008,O0114008,C00602,Olivia Green,32.0,Male,Consumer,2023-11-18,11:08:23,B2B Portal
T02008735,O0108735,C04499,William Adams,42.0,Male,Corporate,2023-10-07,22:22:01,Online
T02008354,O0108354,C00946,Leo Smith,54.0,Female,Consumer,2023-09-27,12:13:45,Retail Store
T02003596,O0103596,C00669,Amelia Brown,27.0,Female,Consumer,2023-02-25,15:30:52,Online
T02000731,O0100365,C04795,Liam Moore,61.0,Non-binary,Consumer,2025-10-25,11:59:51,Retail Store
T02005717,O0105717,C01423,Ella Anderson,44.0,Female,Consumer,2023-12-12,18:01:01,Online
T02012997,O0112997,C02939,Evelyn Williams,51.0,,Consumer,2025-07-05,16:41:08,B2B Portal
T02003069,O0101534,C03809,Alexander Miller,31.0,Male,Small Business,2025-05-15,10:18:59,Online
T02015573,O0107786,C00948,Henry Davis,42.0,Female,Corporate,2023-12-30,17:35:01,Online
T02002050,O0102050,C03463,Freya Allen,,Male,Consumer,2024-03-19,21:45:00,Online
T02007117,O0107117,C05373,Grace Martin,44.0,Male,Consumer,2022-11-25,10:20:41,Retail Store
T02001492,O0101492,C03701,William Green,38.0,Female,Consumer,2022-06-05,13:45:54,Phone Order
T02014724,O0114724,C02608,Samuel Clark,33.0,Female,Consumer,2025-07-16,16:20:49,B2B Portal
T02013580,O0113580,C02396,Sophie Johnson,27.0,Female,Premium,2024-06-03,17:48:47,Retail Store
T02011418,O0105709,C04737,Michael Thompson,32.0,Male,Small Business,2023-09-12,13:51:32,B2B Portal
T02011575,O0111575,C01868,Lucas Harris,61.0,Female,Corporate,2023-10-12,14:33:59,B2B Portal
T02007821,O0107821,C03858,Liam Wright,45.0,Female,Consumer,2024-03-08,13:37:18,Retail Store
T02001314,O0101314,C05264,Aria Allen,48.0,Female,Consumer,2022-06-25,09:57:54,B2B Portal
T02004107,O0104107,C00924,Benjamin Wilson,50.0,Female,Consumer,2025-06-05,15:54:09,Online
T02011291,O0111291,C02977,Sophie Adams,40.0,Female,Consumer,2025-05-23,15:44:59,Online
T02013391,O0113391,C04014,George Williams,37.0,Male,Consumer,2024-06-14,10:31:00,Retail Store
T02014801,O0114801,C01935,James Allen,31.0,Female,Small Business,2025-03-23,10:30:05,Retail Store
T02007066,O0107066,C05357,James Williams,40.0,Male,Returning Customer,2025-08-15,12:14:57,Retail Store
T02014645,O0114645,C02770,Nora Thompson,49.0,Female,Consumer,2024-12-13,23:05:08,Online
T02014998,O0114998,C00500,Hannah Smith,48.0,Female,Small Business,2023-06-15,19:27:46,Online
T02011495,O0111495,C05089,Benjamin Anderson,18.0,Male,Small Business,2023-10-26,19:04:44,Online
T02001626,O0101626,C05564,Maya Johnson,46.0,Male,Consumer,2025-10-23,12:43:01,Retail Store
T02014949,O0114949,C01555,Freya Thomas,25.0,Male,Consumer,2025-09-14,13:29:01,Phone Order
T02006121,O0103060,C02716,,49.0,Female,Consumer,2022-09-05,12:02:44,Retail Store
T02004999,O0104999,C04542,Isla Martin,25.0,Female,Consumer,2025-10-09,13:40:20,Retail Store
T02000746,O0100373,C04097,Grace Thompson,39.0,Female,Small Business,2025-09-22,13:30:26,Retail Store
T02011857,O0111857,C03294,Oscar Baker,,Female,Corporate,2022-12-27,12:02:53,B2B Portal
T02006418,O0106418,C02967,David Young,45.0,Female,Consumer,2023-10-15,12:11:51,Retail Store
T02001094,O0101094,C00264,Evelyn Hall,29.0,Male,Consumer,2023-11-07,12:56:51,Retail Store
T02013173,O0113173,C01495,Noah Johnson,46.0,Female,Consumer,2023-01-17,11:55:21,Retail Store
T02015609,O0107804,C00881,Freya Allen,33.0,Female,Corporate,2024-03-29,15:00:43,Online
T02016293,O0116293,C00334,Evelyn Scott,34.0,Female,Consumer,2024-05-04,15:17:39,Retail Store
T02012266,O0112266,C03190,Amelia White,41.0,Female,Returning Customer,2025-06-30,17:44:39,Retail Store
T02008635,O0108635,C03908,James Baker,32.0,Female,Corporate,2022-01-04,18:33:29,Online
T02003474,O0101737,C05399,Isla Jackson,22.0,Male,Returning Customer,2024-11-09,16:57:25,B2B Portal
T02016691,O0116691,C03012,George Wright,39.0,Female,Corporate,2025-09-21,16:56:38,B2B Portal
T02005359,O0105359,C04447,Mia Jones,21.0,Female,Premium,2022-09-13,23:15:48,Online
T02009046,O0109046,C05054,Amelia King,47.0,Male,Corporate,2024-05-01,22:02:33,Online
T02005486,O0102743,C03782,Charlotte King,28.0,Male,Consumer,2025-11-10,14:41:18,Retail Store
T02001982,O0101982,C02645,Grace Scott,,Female,Consumer,2022-11-03,15:43:40,Phone Order
T02015388,O0115388,C00344,Olivia Hall,39.0,male,New Customer,2022-11-20,11:31:23,Retail Store
T02015819,O0107909,C03967,Emma Jackson,58.0,Male,Returning Customer,2024-02-23,19:37:07,Online
T02009007,O0109007,C01963,Aria Lewis,45.0,Male,Returning Customer,2024-09-15,15:01:06,Online
T02002074,O0102074,C05029,Max Moore,36.0,Female,Small Business,2023-11-16,20:46:54,Online
T02002688,O0102688,C03681,Hannah Hall,37.0,Female,Consumer,2023-09-12,15:35:13,Retail Store
T02001576,O0101576,C03588,Olivia Green,41.0,Female,Corporate,2023-09-28,12:57:58,Retail Store
T02010268,O0110268,C00287,Hannah Johnson,18.0,Female,Returning Customer,2023-05-24,12:57:35,Online
T02010139,O0105069,C02288,Max Martin,37.0,Male,Premium,2025-01-24,21:19:53,Online
T02014704,O0114704,C00930,Amelia Allen,57.0,Male,Corporate,2024-09-28,17:15:26,Online
T02001395,O0101395,C04024,Emily Taylor,34.0,Male,Consumer,2023-11-07,12:00:11,Retail Store
T02004975,O0104975,C04736,Lucas Hall,55.0,Non-binary,Corporate,2024-03-22,10:32:01,Retail Store
T02009330,O0109330,C02719,Olivia White,40.0,Male,Consumer,2024-11-11,17:24:57,B2B Portal
T02000085,O0100085,C01273,Noah White,45.0,Female,Consumer,2023-01-14,15:15:32,Retail Store
T02002842,O0102842,C00874,Grace Davis,31.0,Female,Small Business,2022-08-02,11:13:45,Retail Store
T02009870,O0109870,C05518,Olivia Nelson,56.0,Male,Corporate,2025-07-02,02:16:41,Online
T02016342,O0116342,C03329,Theo Williams,47.0,Female,Consumer,2025-11-11,23:15:08,Online
T02005934,O0105934,C02846,Lily Thompson,31.0,Male,Small Business,2024-11-19,13:07:20,Retail Store
T02005282,O0105282,C04192,Hannah Brown,38.0,Female,Returning Customer,2023-11-04,20:54:18,Online
T02016431,O0116431,C00605,Nora Taylor,31.0,Male,Small Business,2025-02-26,21:08:36,Online
T02000279,O0100279,C04754,Nora Wilson,41.0,Female,Returning Customer,2024-12-03,21:49:51,Online
T02003189,O0101594,C04152,Daniel Nelson,32.0,Female,Consumer,2022-05-26,16:18:28,Online
T02001020,O0100510,C05544,Oscar Jackson,35.0,Female,Consumer,2025-10-12,19:18:43,B2B Portal
T02009045,O0109045,C01090,Thomas Allen,44.0,Male,Small Business,2024-11-21,18:57:34,Online
T02010577,O0110577,C04934,Alexander Martin,38.0,Female,Consumer,2024-03-27,09:52:27,Retail Store
T02002455,O0102455,C00226,Thomas Clark,35.0,Male,Consumer,2022-12-21,13:54:07,Online
T02004616,O0104616,C03294,Oscar Baker,24.0,Female,Corporate,2022-10-25,17:37:17,Retail Store
T02007673,O0107673,C02434,George Wright,54.0,Female,Corporate,2022-10-13,09:48:03,Online
T02011764,O0105882,C03491,James Green,21.0,Male,Consumer,2023-05-08,20:44:31,Online
T02015067,O0115067,C02723,Michael Williams,43.0,Female,Consumer,2023-05-02,13:06:33,Retail Store
T02006947,O0106947,C02653,Alexander Allen,37.0,Male,Consumer,2022-05-17,07:31:35,Online
T02007718,O0107718,C02316,Daniel Davis,23.0,Male,Small Business,2023-05-26,20:12:32,Online
T02002480,O0102480,C03736,Hannah Clark,37.0,Male,Small Business,2024-05-10,08:54:22,Retail Store
T02000926,O0100926,C01145,Ella Allen,32.0,Female,Returning Customer,2025-01-03,14:43:04,Retail Store
T02007196,O0107196,C03198,Mia Adams,28.0,Male,New Customer,2022-11-26,11:40:30,B2B Portal
T02008205,O0108205,C02717,Ava Miller,41.0,Female,Returning Customer,2023-04-14,15:51:50,Online
T02013672,O0113672,C04612,Daniel Adams,52.0,Male,Consumer,2023-01-20,16:07:55,B2B Portal
T02000617,O0100617,C02167,Max Williams,51.0,Female,Premium,2024-04-16,17:57:05,Online
T02002338,O0102338,C01328,Evelyn Wilson,37.0,Male,Consumer,2023-12-28,09:37:45,B2B Portal
T02004619,O0102309,C01446,David Young,41.0,Female,Consumer,2023-12-29,16:26:45,Online
T02002123,O0101061,C02456,Alexander Davis,32.0,Female,Returning Customer,2023-04-15,12:30:00,B2B Portal
T02017104,O0117104,C00257,Emma Clark,31.0,Female,Small Business,2024-11-18,11:37:49,Phone Order
T02015441,O0115441,C02034,Jack Walker,27.0,Female,Small Business,2023-03-15,16:30:12,Online
T02008821,O0104410,C01408,Maya White,51.0,Male,Small Business,2022-06-22,14:04:55,Phone Order
T02003539,O0103539,C03530,Michael King,28.0,Female,Consumer,2023-07-29,20:40:15,Online
T02013628,O0113628,C04469,Benjamin Thompson,38.0,Female,Consumer,2022-05-31,21:49:52,Online
T02017927,O0108963,C01241,Amelia Wright,39.0,Female,Consumer,2022-02-16,11:47:33,Phone Order
T02002966,O0102966,C05293,Henry Wright,21.0,Male,Consumer,2022-12-07,17:41:50,Online
T02010013,O0105006,C05246,Ella Hall,34.0,Male,Consumer,2024-05-08,10:27:59,Retail Store
T02016840,O0116840,C04668,Emily Young,43.0,Female,New Customer,2022-08-06,12:16:23,Retail Store
T02007277,O0107277,C04839,Sophie Young,29.0,Female,Small Business,2025-07-02,12:00:09,Retail Store
T02000627,O0100313,C05384,Sophia Young,40.0,Male,Consumer,2022-09-15,19:09:18,Retail Store
T02009880,O0104940,C03363,Henry Taylor,68.0,Male,New Customer,2022-04-15,16:25:26,B2B Portal
T02010820,O0105410,C02843,Arthur Taylor,31.0,Female,Corporate,2024-11-08,17:57:08,Online
T02010421,O0110421,C05569,Henry Martin,40.0,Male,Consumer,2024-10-09,17:29:46,Retail Store
T02014599,O0114599,C00720,Michael Johnson,44.0,Female,Consumer,2024-04-20,14:49:00,Online
T02006394,O0103197,C01143,Benjamin Green,38.0,Non-binary,Premium,2024-07-11,18:16:16,Online
T02005220,O0105220,C02382,Max Anderson,32.0,Male,Consumer,2023-06-08,23:07:38,Online
T02017702,O0117702,C04298,David Lewis,27.0,Female,New Customer,2022-10-27,15:25:45,Retail Store
T02007798,O0107798,C04086,Samuel Miller,41.0,Female,Consumer,2025-05-22,11:49:38,B2B Portal
T02007097,O0107097,C02451,Ava Wright,40.0,Female,Corporate,2023-07-22,15:19:20,Retail Store
T02012282,O0112282,C03743,Chloe Miller,19.0,Female,Consumer,2022-02-09,16:45:09,Retail Store
T02006683,O0106683,C04814,Theo Thomas,47.0,Female,Small Business,2025-01-14,14:36:01,Retail Store
T02008235,O0108235,C02511,Samuel Johnson,43.0,Male,Consumer,2023-06-08,15:20:10,Online
T02009636,O0104818,C01891,Michael Wright,38.0,Male,Premium,2025-04-03,12:53:17,Retail Store
T02003272,O0103272,C04096,Hannah Harris,22.0,Male,New Customer,2022-09-23,18:45:06,Online
T02009357,O0109357,C03033,Ella Smith,34.0,Male,Consumer,2023-06-19,14:40:00,Online
T02010784,O0105392,C05310,Theo Allen,24.0,Female,Corporate,2024-06-20,13:02:25,B2B Portal
T02015502,O0115502,C04637,Hannah Harris,54.0,Male,Small Business,2022-04-10,10:22:21,B2B Portal
T02006443,O0106443,C01532,Lily Allen,22.0,Female,Consumer,2025-08-06,17:42:56,B2B Portal
T02002037,O0101018,C03796,Aria Brown,34.0,Male,Consumer,2025-03-25,12:28:39,Phone Order
T02017920,O0117920,C02600,Chloe Wright,30.0,Male,Consumer,2023-10-14,16:30:12,Retail Store
T02016907,O0116907,C00121,Noah Wilson,42.0,Male,Small Business,2022-12-18,12:15:16,Retail Store
T02017826,O0117826,C03733,Benjamin Thompson,45.0,Female,Consumer,2024-08-14,14:42:45,Online
T02006797,O0106797,C00258,Samuel Thomas,29.0,Male,Small Business,2023-02-07,13:13:45,Online
T02000127,O0100127,C03023,Grace Davis,49.0,Female,Consumer,2025-02-18,17:40:48,Online
T02006724,O0103362,C01040,Charlotte Nelson,28.0,Female,Consumer,2023-08-08,14:26:54,Online
T02016588,O0108294,C00389,Liam Thompson,27.0,Male,Consumer,2022-09-24,13:02:10,Retail Store
T02007582,O0107582,C03100,Olivia Baker,46.0,Female,Consumer,2024-11-25,16:45:46,Retail Store
T02016660,O0116660,C01906,Mia Walker,37.0,Female,Returning Customer,2024-05-23,18:42:44,Online
T02014928,O0114928,C04676,Grace Allen,47.0,Female,Consumer,2025-12-10,10:50:36,Retail Store
T02000412,O0100412,C03677,Isla King,44.0,Female,Consumer,2025-10-27,16:15:21,Retail Store
T02002265,O0102265,C01360,Oscar Martin,37.0,Female,Small Business,2025-10-25,11:15:27,Retail Store
T02004914,O0102457,C00498,Lucas Williams,24.0,Female,Returning Customer,2022-11-02,12:06:43,B2B Portal
T02008687,O0108687,C04702,Maya Jackson,60.0,Male,Consumer,2025-05-23,17:54:24,B2B Portal
T02013508,O0106754,C02432,Jack Anderson,41.0,Female,Consumer,2025-09-26,18:38:05,Online
T02010863,O0105431,C05250,Nora Taylor,24.0,Female,Premium,2022-10-04,13:18:42,Retail Store
T02017481,O0117481,C00033,Aria Moore,33.0,Female,Small Business,2024-04-30,16:15:10,Online
T02013638,O0106819,C00760,George Jones,48.0,Female,Small Business,2024-05-16,14:23:06,Online
T02013575,O0113575,C05169,Emma Hall,40.0,Female,Returning Customer,2025-12-16,08:26:39,Retail Store
T02015688,O0115688,C05244,Emily Davis,26.0,Female,Returning Customer,2025-01-10,17:04:46,Online
T02013127,O0106563,C00586,Aria Baker,42.0,Female,Corporate,2025-11-07,12:56:52,Retail Store
T02014324,O0114324,C01434,Hannah Miller,40.0,FEMALE,Consumer,2024-10-21,09:07:08,Phone Order
T02014024,O0114024,C04132,Evelyn Miller,52.0,Female,Consumer,2025-04-28,14:52:16,Online
T02010656,O0110656,C03733,Benjamin Thompson,45.0,Female,Consumer,2025-10-07,09:20:35,Retail Store
T02017959,O0108979,C04154,Leo Lewis,39.0,Male,New Customer,2022-08-19,18:41:03,Online
T02013794,O0106897,C00520,Aria Thompson,48.0,Female,Consumer,2022-08-22,19:32:18,Online
T02008076,O0108076,C00311,Liam Martin,43.0,Male,Consumer,2023-05-16,16:27:59,B2B Portal
T02008306,O0104153,C03584,Henry Baker,24.0,Male,Consumer,2024-05-22,19:55:46,Online
T02010640,O0110640,C00275,Charlotte Scott,36.0,Female,Consumer,2024-01-17,08:13:22,Online
T02005384,O0105384,C02711,Emily Lewis,39.0,Male,New Customer,2022-05-14,12:42:32,Online
T02005414,O0105414,C01073,Grace White,42.0,Male,Consumer,2024-07-09,20:25:20,Retail Store
T02002020,O0102020,C04836,Evelyn Thomas,41.0,Male,Premium,2022-04-23,07:09:36,Online
T02007588,O0107588,C04307,Sophie Jackson,45.0,Male,Returning Customer,2024-05-24,13:23:23,Retail Store
T02009053,O0109053,C01049,Jack Anderson,51.0,Female,Consumer,2025-12-24,21:10:00,Online
T02015398,O0115398,C03399,Oscar Clark,27.0,Female,Consumer,2022-01-27,19:10:17,Retail Store
T02008698,O0108698,C00726,Max White,28.0,Male,Consumer,2025-12-28,12:39:16,Retail Store
T02008774,O0108774,C00575,Theo Wright,31.0,Female,Consumer,2024-08-18,14:05:21,Phone Order
T02001501,O0100750,C00559,Hannah King,36.0,Female,Consumer,2024-11-10,17:53:31,Online
T02008597,O0104298,C01301,Amelia King,24.0,Male,New Customer,2022-04-29,19:07:03,Online
T02008414,O0108414,C01881,Alexander White,37.0,Female,Consumer,2024-02-14,14:05:38,B2B Portal
T02016376,O0108188,C01302,Aria Miller,18.0,Male,Returning Customer,2023-06-30,17:43:17,Retail Store
T02003054,O0103054,C00834,Grace White,32.0,Male,Consumer,2025-10-08,08:54:21,B2B Portal
T02006330,O0106330,C00298,William Martin,27.0,Female,Consumer,2024-08-23,16:36:29,Online
T02013714,O0113714,C03776,Nora Wright,37.0,Male,Small Business,2022-03-16,16:32:32,Retail Store
T02006175,O0106175,C00269,Charlotte Williams,48.0,Male,Corporate,2024-11-14,13:37:26,Online
T02002929,O0102929,C01586,William Wright,35.0,Male,Consumer,2024-12-20,22:14:23,Online
T02015127,O0115127,C01898,David Williams,53.0,Male,Consumer,2024-06-17,14:01:20,Retail Store
T02012347,O0106173,C03858,Liam Wright,45.0,Female,Consumer,2023-05-29,07:19:03,B2B Portal
T02007922,O0103961,C04762,Michael Adams,51.0,Non-binary,Returning Customer,2022-03-14,13:25:57,Online
T02008513,O0108513,C03232,Amelia Baker,29.0,Male,Consumer,2023-08-29,13:55:53,Retail Store
T02011240,O0111240,C00110,Leo Anderson,31.0,Non-binary,Small Business,2022-09-08,16:07:34,Online
T02010894,O0110894,C03116,Nora Hall,24.0,Male,Consumer,2022-07-15,13:53:25,B2B Portal
T02009264,O0109264,C05188,Michael Allen,37.0,Male,New Customer,2022-05-16,12:34:55,Online
T02011804,O0111804,C05028,James Young,40.0,Male,Consumer,2024-08-02,17:02:14,Retail Store
T02013420,O0113420,C04040,Grace Clark,44.0,Male,Corporate,2022-11-13,14:18:15,Online
T02002011,O0102011,C01098,Olivia Taylor,20.0,Female,Consumer,2023-02-22,15:47:18,Retail Store
T02017095,O0108547,C02327,Max Young,30.0,Male,Small Business,2025-10-23,09:50:04,Retail Store
